Date,IT Dep.,CostElement,Country,Budget
1/1/2020,Administration,Employee Performance,USA,87
1/2/2020,Administration,Employee Performance,USA,87
1/3/2020,Administration,Employee Performance,USA,87
1/4/2020,Administration,Employee Performance,USA,87
1/5/2020,Administration,Employee Performance,USA,87
1/6/2020,Administration,Employee Performance,USA,87
1/7/2020,Administration,Employee Performance,USA,87
1/8/2020,Administration,Employee Performance,USA,87
1/9/2020,Administration,Employee Performance,USA,87
1/10/2020,Administration,Employee Performance,USA,87
1/11/2020,Administration,Employee Performance,USA,87
1/12/2020,Administration,Employee Performance,USA,87
1/1/2020,Administration,External Labor,USA,"15,300"
1/2/2020,Administration,External Labor,USA,"15,300"
1/3/2020,Administration,External Labor,USA,"15,300"
1/4/2020,Administration,External Labor,USA,"21,900"
1/5/2020,Administration,External Labor,USA,"21,300"
1/6/2020,Administration,External Labor,USA,"21,300"
1/7/2020,Administration,External Labor,USA,"114,300"
1/8/2020,Administration,External Labor,USA,"114,300"
1/9/2020,Administration,External Labor,USA,"114,300"
1/10/2020,Administration,External Labor,USA,"120,330"
1/11/2020,Administration,External Labor,USA,"144,300"
1/12/2020,Administration,External Labor,USA,"144,300"
1/1/2020,Administration,Hardware Maintenance,USA,135
1/2/2020,Administration,Hardware Maintenance,USA,135
1/3/2020,Administration,Hardware Maintenance,USA,135
1/4/2020,Administration,Hardware Maintenance,USA,135
1/5/2020,Administration,Hardware Maintenance,USA,135
1/6/2020,Administration,Hardware Maintenance,USA,135
1/7/2020,Administration,Hardware Maintenance,USA,135
1/8/2020,Administration,Hardware Maintenance,USA,135
1/9/2020,Administration,Hardware Maintenance,USA,135
1/10/2020,Administration,Hardware Maintenance,USA,135
1/11/2020,Administration,Hardware Maintenance,USA,135
1/12/2020,Administration,Hardware Maintenance,USA,135
1/1/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/2/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/3/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/4/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/5/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/6/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/7/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/8/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/9/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/10/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/11/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/12/2020,Administration,Internal Labor,United Kingdom,"-16,369"
1/1/2020,Administration,Internal Labor,USA,"106,524"
1/2/2020,Administration,Internal Labor,USA,"127,768"
1/3/2020,Administration,Internal Labor,USA,"111,520"
1/4/2020,Administration,Internal Labor,USA,"106,811"
1/5/2020,Administration,Internal Labor,USA,"106,811"
1/6/2020,Administration,Internal Labor,USA,"106,811"
1/7/2020,Administration,Internal Labor,USA,"107,178"
1/8/2020,Administration,Internal Labor,USA,"107,178"
1/9/2020,Administration,Internal Labor,USA,"107,178"
1/10/2020,Administration,Internal Labor,USA,"108,580"
1/11/2020,Administration,Internal Labor,USA,"108,580"
1/12/2020,Administration,Internal Labor,USA,"108,623"
1/6/2020,Administration,Moving,USA,"2,400"
1/1/2020,Administration,Other,United Kingdom,"-14,833"
1/2/2020,Administration,Other,United Kingdom,"-14,833"
1/3/2020,Administration,Other,United Kingdom,"-14,833"
1/4/2020,Administration,Other,United Kingdom,"-14,833"
1/5/2020,Administration,Other,United Kingdom,"-14,833"
1/6/2020,Administration,Other,United Kingdom,"-14,833"
1/7/2020,Administration,Other,United Kingdom,"-14,833"
1/8/2020,Administration,Other,United Kingdom,"-14,833"
1/9/2020,Administration,Other,United Kingdom,"-14,833"
1/10/2020,Administration,Other,United Kingdom,"-14,833"
1/11/2020,Administration,Other,United Kingdom,"-14,833"
1/12/2020,Administration,Other,United Kingdom,"-14,833"
1/1/2020,Administration,Other,USA,"30,632"
1/2/2020,Administration,Other,USA,632
1/3/2020,Administration,Other,USA,"21,182"
1/4/2020,Administration,Other,USA,632
1/5/2020,Administration,Other,USA,632
1/6/2020,Administration,Other,USA,"21,182"
1/7/2020,Administration,Other,USA,632
1/8/2020,Administration,Other,USA,"24,632"
1/9/2020,Administration,Other,USA,"20,132"
1/10/2020,Administration,Other,USA,"1,682"
1/11/2020,Administration,Other,USA,632
1/12/2020,Administration,Other,USA,"20,132"
1/1/2020,Administration,Outbound Allocations,United Kingdom,721
1/2/2020,Administration,Outbound Allocations,United Kingdom,721
1/3/2020,Administration,Outbound Allocations,United Kingdom,721
1/4/2020,Administration,Outbound Allocations,United Kingdom,721
1/5/2020,Administration,Outbound Allocations,United Kingdom,721
1/6/2020,Administration,Outbound Allocations,United Kingdom,721
1/7/2020,Administration,Outbound Allocations,United Kingdom,721
1/8/2020,Administration,Outbound Allocations,United Kingdom,721
